id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8521,SunsplashedSerenity near Harvard $1300/wk flexible,306681,Janet,,West Cambridge,42.38329,-71.13617,Entire home/apt,200,3,33,2019-06-09,0.27,3,46
11169,Lovely Studio Room: Available now!,40965,Mazzy,,North Cambridge,42.39469,-71.13223,Private room,115,2,142,2019-05-21,1.26,3,309
11945,Near Harvard: Safe & Lovely Room,40965,Mazzy,,North Cambridge,42.39454,-71.13431,Private room,75,3,33,2019-04-14,0.28,3,363
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36276,-71.09765,Private room,185,3,6,2018-08-04,0.05,3,338
22006,B & B near Harvard's Quad Houses,84280,Blue,,Neighborhood Nine,42.3867,-71.12387,Private room,120,2,68,2019-06-17,0.79,1,322
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36381,-71.09754,Private room,225,3,9,2018-08-31,0.08,3,361
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,Mid-Cambridge,42.37057,-71.10029,Entire home/apt,200,3,320,2019-06-19,3.23,2,269
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.3627,-71.09645,Private room,235,4,14,2019-06-01,0.15,3,322
108898,"""The Treehouse"":  Elegant living near Harvard",306681,Janet,,West Cambridge,42.38377,-71.13543,Entire home/apt,150,2,16,2019-06-02,0.16,3,287
112452,Modern Condo in Harvard Sq,334800,Maiya,,West Cambridge,42.38658,-71.14041,Entire home/apt,100,180,1,2011-12-29,0.01,1,341
124998,Mid-Cambridge Carriage House,622255,Charles,,Mid-Cambridge,42.37275,-71.1067,Private room,100,3,319,2018-11-05,3.25,1,0
219471,"Best @ MIT, Kendall, Back Bay, Harvard, BU",444945,Lisa,,Cambridgeport,42.36109,-71.10425,Entire home/apt,144,3,53,2019-05-31,0.58,1,306
231115,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,81038,Louisa,,Riverside,42.3668,-71.10673,Entire home/apt,225,2,159,2019-06-13,1.70,9,63
257645,Lovely Guest Room (Women Only),207434,Billie Jo,,Neighborhood Nine,42.38375,-71.12955,Private room,70,2,52,2019-05-18,0.74,1,288
280304,#17-2 Large 1BR Apt. in Harvard Sq!,1461240,Monica,,Riverside,42.37083,-71.11402,Entire home/apt,194,2,43,2019-02-22,0.71,5,279
314465,"Great House, Great Location",1615938,Tara,,Cambridgeport,42.35965,-71.10556,Entire home/apt,500,2,59,2018-06-10,0.71,1,9
321847,"New condo in Central Sq - 2BR, 2BA",1647071,Meghan,,The Port,42.36498,-71.09869,Entire home/apt,300,2,52,2019-05-27,0.61,1,12
326170,Two-room suite near Harvard Univ.,1665697,Nadine And Bernd,,Agassiz,42.38247,-71.11403,Private room,110,2,192,2018-10-21,2.14,1,0
365220,Davis Square Studio!,1694399,Isa,,Neighborhood Nine,42.38817,-71.12898,Entire home/apt,142,3,133,2019-06-17,2.18,1,64
405144,Apartment in Harvard's Backyard,2018955,Nicole,,Mid-Cambridge,42.37125,-71.11105,Entire home/apt,180,31,53,2018-09-28,0.60,1,314
405548,Holidays in Cambridge $150/night (flexible),306681,Janet,,West Cambridge,42.38258,-71.1371,Entire home/apt,150,2,2,2017-12-26,0.03,3,0
445407,East Cambridge Apartment ,2212429,Jimmy,,Wellington-Harrington,42.37363,-71.08909,Entire home/apt,350,2,40,2018-08-26,0.47,2,40
