id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7149,Gorgeous top floor btwn MIT&Harvard,18162,Douglas,,The Port,42.36617311148545,-71.09786532680111,Private room,95,2,111,2017-07-15,0.96,1,3
8521,SunsplashedSerenity near Harvard $1300/wk flexible,306681,Janet,,West Cambridge,42.38328914095411,-71.13617034709085,Entire home/apt,200,3,29,2018-08-04,0.25,3,169
8533,[1091-1C] Lux Apts in Cambridge,25188,Seamless,,East Cambridge,42.364060627203436,-71.08359205029848,Entire home/apt,249,30,3,2015-06-19,0.05,8,364
11169,Lovely Studio Room: Thursdays through Mondays!,40965,Mazzy,,North Cambridge,42.39469276694139,-71.1322332753883,Private room,115,2,141,2018-11-11,1.33,3,353
11945,Near Harvard: Safe & Lovely Room,40965,Mazzy,,North Cambridge,42.39453735152807,-71.13430999418186,Private room,85,3,32,2018-10-16,0.29,3,363
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36275868629302,-71.09764819183528,Private room,160,4,6,2018-08-04,0.06,3,365
22006,B & B near Harvard's Quad Houses,84280,Blue,,Neighborhood Nine,42.38669640368429,-71.12387254542892,Private room,120,2,59,2018-11-24,0.74,1,346
24063,Riverbend Bed and Breakfast,96414,Polly,,West Cambridge,42.376059531659685,-71.14040857711298,Private room,110,2,162,2018-11-12,1.55,1,351
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.3638104848401,-71.09754097234733,Private room,195,5,9,2018-08-31,0.09,3,359
38356,"[1361-1LES] Lux 1BR, 1.5 Bath w/Loft in Cambridge",25188,Seamless,,East Cambridge,42.36600242905671,-71.08319108121957,Entire home/apt,247,30,8,2014-05-19,0.09,8,89
38363,[1361-2NH]2BR At Third Square,25188,Seamless,,East Cambridge,42.36455056004892,-71.08364255263558,Entire home/apt,389,30,14,2015-06-05,0.14,8,364
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,Mid-Cambridge,42.370572283107435,-71.10029354261353,Entire home/apt,200,3,298,2018-12-03,3.21,2,295
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.36270201204771,-71.0964487769357,Private room,225,4,12,2018-10-07,0.14,3,358
108898,"""The Treehouse"":  elegant living near Harvard",306681,Janet,,West Cambridge,42.383772617432385,-71.13543283866609,Entire home/apt,150,2,14,2018-07-26,0.15,3,339
112452,Modern Condo in Harvard Sq,334800,Maiya,,West Cambridge,42.38657591435698,-71.14040522043022,Entire home/apt,100,7,1,2011-12-29,0.01,1,197
124998,Mid-Cambridge Carriage House,622255,Charles,,Mid-Cambridge,42.372745200652425,-71.10670411537917,Private room,100,3,320,2018-11-05,3.49,1,15
164449,[1691-2]Lux 2BR in Cambridge,25188,Seamless,,East Cambridge,42.367177334882534,-71.08250181730294,Entire home/apt,349,30,2,2012-05-05,0.02,8,89
219471,"Best @ MIT, Kendall, Back Bay, Harvard, BU",444945,Lisa,,Cambridgeport,42.3610871997747,-71.10425496114742,Entire home/apt,144,3,49,2018-09-21,0.57,1,307
222764,[1361-C1] Luxury 1BR at Third Square,25188,Seamless,,East Cambridge,42.36607288942515,-71.08357180480651,Entire home/apt,285,30,5,2015-10-24,0.06,8,179
226315,[1091-2C/2] Lux 2 Bedroom-Heart of Kendall Square,25188,Seamless,,East Cambridge,42.36421073987956,-71.08427737135572,Entire home/apt,449,30,4,2015-10-19,0.06,8,364
231115,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,81038,Louisa,,Riverside,42.36680432784016,-71.10673184695716,Entire home/apt,225,2,148,2018-11-18,1.70,9,0
257645,Lovely Guest Room (Women Only),207434,Billie Jo,,Neighborhood Nine,42.38374982147362,-71.12955294986273,Private room,70,2,48,2018-10-29,0.75,1,365
314465,"Great House, Great Location",1615938,Tara,,Cambridgeport,42.35964957257031,-71.10556007584418,Entire home/apt,500,2,59,2018-06-10,0.77,1,8
318473,Sunny spacious Room 3  - Cambridge,1634398,Pamela ( DAN),,North Cambridge,42.39351338274562,-71.13314268102371,Private room,68,30,44,2018-08-03,0.53,4,360
