id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8521,SunsplashedSerenity near Harvard $1300/wk flexible,306681,Janet,,West Cambridge,42.38328914095411,-71.13617034709085,Entire home/apt,200,3,29,2018-08-04,0.26,3,142
8533,[1091-1C] Lux Apts in Cambridge,25188,Seamless,,East Cambridge,42.364060627203436,-71.08359205029848,Entire home/apt,249,30,3,2015-06-19,0.05,11,364
11169,Lovely Studio Rm: Very AVAILABLE in NOVEMBER!,40965,Mazzy,,North Cambridge,42.39469276694139,-71.1322332753883,Private room,115,2,141,2018-11-11,1.34,3,364
11945,Near Harvard: Safe & Lovely Room,40965,Mazzy,,North Cambridge,42.39453735152807,-71.13430999418186,Private room,85,3,32,2018-10-16,0.29,3,363
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36275868629302,-71.09764819183528,Private room,160,4,6,2018-08-04,0.06,3,360
22006,B & B near Harvard's Quad Houses,84280,Blue,,Neighborhood Nine,42.38669640368429,-71.12387254542892,Private room,120,2,57,2018-11-12,0.72,1,341
24063,Riverbend Bed and Breakfast,96414,Polly,,West Cambridge,42.376059531659685,-71.14040857711298,Private room,110,2,162,2018-11-12,1.57,1,348
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.3638104848401,-71.09754097234733,Private room,195,5,9,2018-08-31,0.09,3,332
38356,"[1361-1LES] Lux 1BR, 1.5 Bath w/Loft in Cambridge",25188,Seamless,,East Cambridge,42.36600242905671,-71.08319108121957,Entire home/apt,247,30,8,2014-05-19,0.09,11,89
38363,[1361-2NH]2BR At Third Square,25188,Seamless,,East Cambridge,42.36455056004892,-71.08364255263558,Entire home/apt,389,30,14,2015-06-05,0.14,11,364
52992,Penthouse roofdeck 2 bedrm MIT Harvard edutourism,167002,Michael & Kimberly,,Wellington-Harrington,42.37132573507242,-71.09417295340032,Entire home/apt,223,30,13,2018-09-21,0.13,2,358
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,Mid-Cambridge,42.370572283107435,-71.10029354261353,Entire home/apt,200,3,297,2018-11-11,3.23,2,311
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.36270201204771,-71.0964487769357,Private room,225,4,12,2018-10-07,0.14,3,345
108898,"""The Treehouse"":  elegant living near Harvard",306681,Janet,,West Cambridge,42.383772617432385,-71.13543283866609,Entire home/apt,150,2,14,2018-07-26,0.15,3,322
112452,Modern Condo in Harvard Sq,334800,Maiya,,West Cambridge,42.38657591435698,-71.14040522043022,Entire home/apt,100,7,1,2011-12-29,0.01,1,170
124998,Mid-Cambridge Carriage House,622255,Charles,,Mid-Cambridge,42.372745200652425,-71.10670411537917,Private room,100,3,320,2018-11-05,3.52,1,15
164449,[1691-2]Lux 2BR in Cambridge,25188,Seamless,,East Cambridge,42.367177334882534,-71.08250181730294,Entire home/apt,349,30,2,2012-05-05,0.02,11,89
195545,[1091-1NE] Lux Apts In Cambridge,25188,Seamless,,East Cambridge,42.36376578265415,-71.08433780397165,Entire home/apt,289,30,6,2017-09-30,0.07,11,364
217548,[1361-1NE]Lux 1 BR At Third Square,25188,Seamless,,East Cambridge,42.36413984346072,-71.08224381429604,Entire home/apt,279,30,6,2017-10-16,0.07,11,89
219471,"Best @ MIT, Kendall, Back Bay, Harvard, BU",444945,Lisa,,Cambridgeport,42.3610871997747,-71.10425496114742,Entire home/apt,144,3,49,2018-09-21,0.58,1,289
222764,[1361-C1] Luxury 1BR at Third Square,25188,Seamless,,East Cambridge,42.36607288942515,-71.08357180480651,Entire home/apt,285,30,5,2015-10-24,0.06,11,179
226315,[1091-2C/2] Lux 2 Bedroom-Heart of Kendall Square,25188,Seamless,,East Cambridge,42.36421073987956,-71.08427737135572,Entire home/apt,449,30,4,2015-10-19,0.06,11,364
231115,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,81038,Louisa,,Riverside,42.36680432784016,-71.10673184695716,Entire home/apt,225,2,147,2018-11-16,1.71,9,120
257645,Lovely Guest Room (Women Only),207434,Billie Jo,,Neighborhood Nine,42.38374982147362,-71.12955294986273,Private room,70,2,48,2018-10-29,0.76,1,352
314465,"Great House, Great Location",1615938,Tara,,Cambridgeport,42.35964957257031,-71.10556007584418,Entire home/apt,500,2,59,2018-06-10,0.78,1,12
318473,Sunny spacious Room 3  - Cambridge,1634398,Pamela ( DAN),,North Cambridge,42.39351338274562,-71.13314268102371,Private room,68,30,44,2018-08-03,0.54,4,333
321847,"New condo in Central Sq - 2BR, 2BA",1647071,Meghan,,The Port,42.36498157400825,-71.0986853640676,Entire home/apt,300,2,51,2018-11-11,0.65,1,0
365220,Davis Square Studio!,1694399,Isa,,Neighborhood Nine,42.38817407572382,-71.128981415164,Entire home/apt,142,3,120,2018-11-12,2.24,1,125
405144,Apartment in Harvard's Backyard,2018955,Nicole,,Mid-Cambridge,42.37124879964192,-71.11105491699293,Entire home/apt,180,31,54,2018-09-28,0.67,1,320
405548,Holidays in Cambridge $150/night (flexible),306681,Janet,,West Cambridge,42.382578097123286,-71.13710046080693,Entire home/apt,150,2,2,2017-12-26,0.03,3,9
416165,Best place for the money Harvard Sq,2069367,Melissa & John,,Agassiz,42.381168651071555,-71.11493077150261,Private room,150,7,52,2018-10-13,0.69,2,39
445407,East Cambridge Apartment ,2212429,Jimmy,,Wellington-Harrington,42.37362586341973,-71.08908687636347,Entire home/apt,350,2,40,2018-08-26,0.51,2,0
459074,Studio steps from MIT and Harvard!,2282282,Claudia,,Cambridgeport,42.36290735352211,-71.10434949948466,Entire home/apt,100,2,315,2018-11-11,4.01,1,69
464471,"HarvardMIT,InmanSq,clean,sunny apt.",2308198,Sarah And Chris,,Wellington-Harrington,42.373170939775974,-71.09743050037139,Entire home/apt,175,2,230,2018-11-11,2.91,1,284
497152,Designer Flat on Conservation Land,2431344,Elizabeth,,Cambridge Highlands,42.39444950344614,-71.15489866419635,Entire home/apt,180,4,71,2018-10-22,0.92,1,340
559053,[1361-1C/2] Luxury 1BR - Third Square,25188,Seamless,,East Cambridge,42.36454978124413,-71.08266968300991,Entire home/apt,285,30,1,2012-08-07,0.01,11,89
566528,HARVARD/TUFTS: SHEA ROAD 1st FL Apt+PARKING PERMIT,1839729,Harvard,,North Cambridge,42.396945358954355,-71.12742579801736,Entire home/apt,125,1,104,2018-11-12,1.37,1,104
570049,#34-3 Huge Room in Porter Square!!,1461240,Monica,,Neighborhood Nine,42.38696557657243,-71.12548399746444,Private room,125,2,39,2018-10-06,0.51,7,314
572563,Sunny & Stylish 2BR in Cambridge,2817305,Ashley,,Cambridgeport,42.36247336077013,-71.10475194111893,Entire home/apt,120,5,0,,,1,0
577384,Large Room with Shared Bath,229956,Adam,,The Port,42.36597623353605,-71.09909030286173,Private room,55,1,123,2018-11-01,1.59,3,13
602292,Quiet Cottage Hidden in Harvard Square,2830287,Christopher,,West Cambridge,42.37402899478029,-71.12520604261428,Entire home/apt,140,2,225,2018-11-12,2.93,1,2
613838,Harvard / Central Square : b1,3011415,Stanley And Sue,,Riverside,42.36796678534459,-71.11056736848033,Entire home/apt,195,3,87,2018-10-17,1.15,4,133
658586,Huge 2 bedroom in Harvard Square,2069367,Melissa & John,,Agassiz,42.38432628345557,-71.11770922363598,Entire home/apt,400,14,15,2014-12-28,0.20,2,186
688064,Harvard Sq Charles River k1,3011415,Stanley And Sue,,Riverside,42.366778026374526,-71.11099089290107,Entire home/apt,195,3,61,2018-11-04,0.84,4,180
715532,Quiet Cambridge Apartment with Bikes Available,3673828,Kate & Andy,,North Cambridge,42.39419740089202,-71.13202240762979,Entire home/apt,200,2,211,2018-11-11,2.82,1,309
719714,Perfect Studio Camb/Harvard Sq #2,727944,Emily,,North Cambridge,42.394134468645696,-71.12525573733004,Entire home/apt,125,4,133,2018-11-11,1.79,3,314
734748,Harvard / Central Square b2,3011415,Stanley And Sue,,Riverside,42.36706103015688,-71.11082222495794,Entire home/apt,185,3,62,2018-10-28,0.91,4,134
742574,See Yourself in Central Square,1152305,Greg,,Cambridgeport,42.36486321482843,-71.10328155468314,Entire home/apt,150,31,123,2018-08-29,1.71,4,147
749862,Oversized Room - Condo Cambridge,1634398,Pamela ( DAN),,North Cambridge,42.39403752696796,-71.13446754563378,Private room,90,30,11,2018-09-02,0.17,4,349
788196,HARVARD SQUARE studio 3 MIN WALK TO TRAIN REDLINE,3668535,S,,Neighborhood Nine,42.37857960135292,-71.12172389820418,Entire home/apt,196,3,88,2018-09-29,1.22,3,178
798213,Cambridge-Alewife-Davis-Tufts-Porter Sq-Harvard Sq,4169689,Javier,,North Cambridge,42.401354276985636,-71.13568884942578,Private room,65,1,350,2018-11-08,5.27,2,328
810461,Suite Central B&B in the Heart of Cambridge,1963743,Leslie And Dave,,The Port,42.37047383738407,-71.09780966474813,Private room,108,2,231,2018-11-17,3.47,1,56
860634,Home on quiet street near Harvard,4507945,Deborah,,Agassiz,42.38391440833227,-71.11449299732654,Private room,70,1,313,2018-10-24,4.59,1,237
868975,Charming Cottage in Central Square,4578066,Gail,,Riverside,42.36594859063578,-71.10607578116294,Entire home/apt,150,30,182,2018-10-21,2.58,2,3
910408,Cozy Sublet in Mid Cambridge MA!,4883794,Melissa,,Mid-Cambridge,42.37038505061143,-71.10644682644123,Entire home/apt,90,28,5,2018-06-25,0.07,1,358
986680,Amazing entire 2BR apt/ Harvard/Porter,5105222,Maria,,Neighborhood Nine,42.38592739693258,-71.12002420654039,Entire home/apt,185,2,33,2017-10-29,0.50,1,170
996575,Great Apt. Harvard Sq.and Boston#1A,727944,Emily,,North Cambridge,42.392838063521644,-71.12399563240044,Entire home/apt,125,4,148,2018-10-30,2.17,3,346
1031655,[1798-3] 3BR At Emerson Place-Boston,25188,Seamless,,East Cambridge,42.36457878358484,-71.06982385069848,Entire home/apt,326,7,0,,,11,89
1054635,"Sunny, lg 1-br, heart of Cambridge",3087212,Eleanor,,Mid-Cambridge,42.37254342274004,-71.1126008652989,Entire home/apt,97,90,10,2017-05-29,0.16,2,237
1067104,Harvard Tufts MIT: Artist's Home,5871398,Beverly,,North Cambridge,42.391334652178486,-71.13211681676242,Private room,79,2,13,2018-10-14,0.24,3,297
1080789,Entire Lovely Home!!,40965,Mazzy,,North Cambridge,42.394755763579425,-71.13184915063981,Entire home/apt,300,2,0,,,3,4
1088876,#17-1 Big 1 BR in Harvard Sq.!,1461240,Monica,,Riverside,42.37132006335554,-71.11557067713768,Entire home/apt,170,2,66,2018-11-04,1.22,7,119
1097262,Harvard/MIT/BU/Central Square Room,6030020,Jason,,Cambridgeport,42.356286492382516,-71.1109531740805,Private room,90,14,41,2018-09-15,0.61,3,350
1112477,Convenient! Charming! Cambridge!,369388,Pamela,,North Cambridge,42.39320319046364,-71.12881481564574,Private room,100,2,89,2018-11-12,1.43,1,15
1122823,Harvard Square.Entire home/apt in Cambridge,1429482,Ugo,,Riverside,42.3674631403769,-71.11224159587334,Entire home/apt,137,30,4,2018-03-21,0.37,2,136
1124798,Neat Room No 2 Cambridge,1634398,Pamela ( DAN),,North Cambridge,42.39699843658367,-71.13482491040199,Private room,70,30,15,2018-09-19,0.23,4,291
1124873,"Sunny flat on private lane, walk to MIT, Harvard",6122485,Wendy,,The Port,42.367075637115335,-71.10029303520307,Entire home/apt,120,2,49,2018-08-28,0.73,2,120
1130655,Bedroom in a Cambridge Condominium/Best Location,6203069,Michael,,Agassiz,42.384535603096246,-71.11559858147402,Private room,125,3,53,2018-07-29,0.79,2,361
1140201,Great Room Near Harvard/MIT/BU,6030020,Jason,,Cambridgeport,42.36112354921319,-71.10660339418324,Private room,100,20,64,2018-10-31,0.96,3,297
1141088,MIT/Harvard/Inman- 2 Bedroom Apt.,2530211,Erin,,Wellington-Harrington,42.3711678760499,-71.09685394398745,Entire home/apt,179,2,359,2018-11-14,5.35,1,284
1143701,Beautiful Light-Filled Bedroom/Best Location,6203069,Michael,,North Cambridge,42.38883875306093,-71.12047761716688,Private room,125,3,71,2018-11-14,1.06,2,365
1154298,Quiet private room in N. Cambridge,6325607,John,,North Cambridge,42.40020637525094,-71.13643339616247,Private room,65,1,326,2018-11-12,4.99,1,354
1170965,Wonderful room by Harvard Square,6410988,Kathleen,,West Cambridge,42.37774826718359,-71.13084696945653,Private room,120,1,17,2018-05-27,0.26,2,364
1189126,Private room on quiet lane,6500980,Barbara,,Cambridgeport,42.36312759130297,-71.10524180797995,Private room,85,2,128,2018-11-03,1.92,1,143
1193755,Private room in Davis Sq. Cambridge,6523704,Kato,,North Cambridge,42.393698019439555,-71.13137462272937,Private room,75,30,23,2017-04-08,0.35,2,352
1193875,Large Downstairs Room,229956,Adam,,The Port,42.364329532462214,-71.09911138962858,Private room,35,18,138,2018-11-02,2.11,3,13
1200294,Small Downstairs Room,229956,Adam,,The Port,42.36554269833634,-71.10023918133503,Private room,27,2,131,2018-10-27,1.97,3,13
1215512,Minutes to Harvard Square,2066283,Roger,,Strawberry Hill,42.37824435715455,-71.14915402905879,Entire home/apt,150,28,13,2018-04-30,0.30,1,337
1216161,"Spacious townhouse in Cambridge, MA",6636728,Nomeda,,Mid-Cambridge,42.37620135459884,-71.10918502234158,Entire home/apt,135,90,3,2018-08-30,0.11,1,31
1225831,Victorian Charm MIT/Harvard/Kendall/Central-1BR,3380576,Paul,,The Port,42.364582750492225,-71.09844850431487,Entire home/apt,155,3,349,2018-10-31,5.27,1,273
1257229,Lovely Room Near Porter & Harvard,6839881,Lisan,,Neighborhood Nine,42.38849041740721,-71.12624385106406,Private room,48,110,8,2017-12-21,0.12,11,322
1272909,Room in 3/1 Apt Davis Sq. Cambridge,6523704,Kato,,North Cambridge,42.393983219020406,-71.13093004478563,Private room,43,1,32,2018-09-30,0.50,2,352
1276962,"Cambridge Apt, walk to MIT, Harvard",6122485,Wendy,,The Port,42.367798108826335,-71.10175424904942,Entire home/apt,200,2,70,2018-09-06,1.73,2,200
1307195,Harvard/MIT: Convenience & Luxury!,7106416,Kyle,,Cambridgeport,42.363918071115386,-71.10190721904326,Entire home/apt,349,1,313,2018-11-11,6.12,1,302
1315920,Harvard or MIT walk 2 bedroom 2 baths,7148538,Lumina,,Wellington-Harrington,42.36986117749514,-71.09582870359613,Entire home/apt,698,1,36,2018-07-29,0.56,1,318
1328087,"Duplex, Charles River, Harvard #",1429482,Ugo,,Riverside,42.36734303966677,-71.11258892180852,Entire home/apt,114,15,18,2018-04-11,0.28,2,0
1330779,Huron Village Lower Unit Harvard Sq,4642626,Amy,,Neighborhood Nine,42.38904595930735,-71.1242450300411,Entire home/apt,200,2,47,2018-08-21,0.73,4,321
1341022,"Long term, Green, Modern Entire Condo MIT/MGH",6619766,C,,The Port,42.36820814008971,-71.09436124803831,Entire home/apt,135,90,40,2018-10-31,0.61,1,321
1404377,Renovated Brownstone - MIT/Kendall,7579202,Jenny,,East Cambridge,42.36742586125335,-71.08457996510974,Private room,140,2,266,2018-11-04,4.13,2,343
1406416,City living at its finest!,7579202,Jenny,,East Cambridge,42.37143091410221,-71.0788101958221,Private room,140,2,169,2018-11-04,2.79,2,327
1444324,12 Griswold - 2nd Fl · Large 2 Bedroom short ride to Harvard,2356643,Voyage,,Cambridge Highlands,42.389364472906934,-71.15618521603305,Entire home/apt,150,2,76,2018-10-21,1.38,3,99
1450370,Lovely Room in Cambridge. Close to Subway!!,6839881,Lisan,,Neighborhood Nine,42.38798787117292,-71.1260857102561,Private room,72,200,4,2018-03-30,0.06,11,232
1476154,Private room/bath ctrl. Cambridge,7900241,Richard,,Riverside,42.364898790541,-71.11290172239323,Private room,145,4,73,2017-08-20,1.16,1,362
1502981,"Nice room, Porter Square / Harvard",8029934,Stuart,,Neighborhood Nine,42.385383787231376,-71.11996466622973,Private room,95,3,93,2018-08-19,1.67,2,99
1579165,Min 6 Mth Modern nr HARVARD TUFTS Studio,7918311,Dina,,North Cambridge,42.3984037915655,-71.13104625207932,Entire home/apt,145,180,33,2018-08-16,0.53,1,134
1609674,HARVARD SQUARE APT MIT/BOSTON CLOSE,8572951,Saam,,Neighborhood Nine,42.37598797981516,-71.11791642252088,Entire home/apt,350,4,53,2018-07-14,0.84,1,358
1611769,#19-2 Large 1BR in Harvard Square!!,1461240,Monica,,Riverside,42.36927292417846,-71.11528233806246,Entire home/apt,170,3,105,2018-10-15,1.69,7,209
1619471,Charming Room Near Harvard Square,8530114,Colleen,,Mid-Cambridge,42.37383977181373,-71.10719020393756,Private room,140,2,92,2018-11-16,1.48,3,154
1632003,2 Cozy Rooms Near Harvard Square,8530114,Colleen,,Mid-Cambridge,42.372094726024066,-71.103278342138,Private room,170,2,32,2018-09-28,0.51,3,180
1644730,#17-3 Cozy Apartment in Harvard Sq!,1461240,Monica,,Riverside,42.369748025688416,-71.11565718493236,Entire home/apt,240,3,22,2018-09-24,0.37,7,313
1650961,Little Yellow Cottage - N.Cambridge,8756587,Chala,,Neighborhood Nine,42.3904174548535,-71.13222656450309,Entire home/apt,165,2,84,2018-09-15,1.51,1,196
1711476,"Serene & cozy 1BR oasis, walk to  Harvard Square!",3402394,Case,,Mid-Cambridge,42.37484995186579,-71.10562723531321,Entire home/apt,110,30,52,2018-09-29,1.59,2,157
1799157,Long term furnished room in academic household.,7757356,Alan,,Strawberry Hill,42.376178710094834,-71.15441714441624,Private room,79,31,28,2017-08-09,0.45,2,136
1840256,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Mike,,Area 2/MIT,42.36182703695305,-71.08460301665012,Entire home/apt,259,28,18,2018-08-26,0.33,17,10
1855969,Lux 2 Bedroom Cambridge Apt by MIT,9419684,Mike,,East Cambridge,42.3634225587935,-71.08280683715361,Entire home/apt,272,28,31,2017-10-20,0.52,17,0
1881771,"It's home, Cambridge! (1BD/1BT)",9796499,Marisa,,Cambridgeport,42.355635492134226,-71.11297687593557,Entire home/apt,250,3,50,2018-10-22,0.85,1,351
1893287,Bright Convenient Apt Harvard / MIT,9553483,Jookun,,The Port,42.36563021364198,-71.10043003943868,Entire home/apt,160,2,111,2018-11-07,1.83,1,188
1916744,"Excellent light, near T, 1 stop to Harvard, 2toMIT",9939488,Dan,,Neighborhood Nine,42.38853930097433,-71.12688244126788,Private room,57,250,20,2018-06-30,0.34,7,365
1935343,"Cute, clean & it’s all yours-1 bed- great location",10014448,Lucia,,Cambridgeport,42.356979262336175,-71.10859174819956,Entire home/apt,150,3,136,2018-11-04,2.35,1,352
1984737,Charming Harvard Victorian w/pkng,8824696,Steve,,West Cambridge,42.38115875866333,-71.1332553441874,Entire home/apt,312,1,248,2018-11-07,4.56,2,215
1987139,"Charming Renovated Antique, Ideal Location",10237845,Jason,,Mid-Cambridge,42.37184413589989,-71.10417273610022,Entire home/apt,135,30,5,2015-03-30,0.09,1,337
2025926,Private Bedroom nr Harvard & Davis,1927550,Jacey,,Agassiz,42.38749886513111,-71.11907713060292,Private room,70,1,101,2018-11-04,1.72,1,339
2030680,Cozy Room in a Charming Townhouse,10427720,Gosia,,Strawberry Hill,42.378517448768996,-71.15249447218126,Private room,125,1,20,2018-11-02,0.38,2,365
2038283,Stay Across from Harvard's Campus!,4521987,Kris,,Mid-Cambridge,42.3721699970444,-71.11453310912421,Entire home/apt,155,4,105,2018-10-29,1.79,1,82
2049840,Harvard Square Charles River View,10506091,Andrea,,West Cambridge,42.372672033954615,-71.1253466066899,Entire home/apt,300,2,7,2016-05-28,0.13,1,316
2076076,Home-away-from-home on MIT campus / Kendall Square,10610323,Shiyi,,East Cambridge,42.36812109673827,-71.08317513901832,Private room,79,3,165,2018-11-11,3.05,1,38
2092181,Hammock Haven in Cambridge (entire place!),10641173,Randi,,Wellington-Harrington,42.37278397053716,-71.09022095015304,Entire home/apt,85,1,22,2018-01-15,0.41,1,2
2093962,4+ bedroom Cambridgeport Kid friendly,10683725,Leigh,,Cambridgeport,42.35440342729117,-71.11293377852517,Entire home/apt,325,2,16,2018-10-21,0.31,1,96
2098613,"Clean cozy bedroom, parking incl.",10664362,Rachel,,Cambridgeport,42.35517751206122,-71.10913626940338,Private room,75,2,76,2018-11-10,1.78,1,25
2176599,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Mike,,East Cambridge,42.36321906698735,-71.08455891020435,Entire home/apt,259,28,5,2016-01-17,0.09,17,101
2223447,Bright & Quiet 1 Bdrm Apt in heart of  Harvard Sq.,7421025,Doriana,,Mid-Cambridge,42.37109018300776,-71.11065832638411,Entire home/apt,95,30,34,2018-09-01,0.76,3,137
2244415,❤Harvard❤MIT❤Parking ❤Clean❤Quiet❤Full Apartment❤,3668535,S,,Mid-Cambridge,42.373585163168286,-71.11381190165838,Entire home/apt,171,2,68,2018-10-16,1.22,3,176
2262349,12 Griswold Basemnt · Harvard-Area 2BD Garden-Level Apt,2356643,Voyage,,Cambridge Highlands,42.39046398004594,-71.15607025491934,Entire home/apt,175,2,57,2018-08-05,1.03,3,47
