id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8521,SunsplashedSerenity near Harvard $1300/wk flexible,306681,Janet,,West Cambridge,42.38329,-71.13617,Entire home/apt,200,3,29,2018-08-04,0.25,3,226
8533,[1091-1C] Lux Apts in Cambridge,25188,Seamless,,East Cambridge,42.36406,-71.08359,Entire home/apt,249,30,3,2015-06-19,0.05,3,364
11169,Lovely Studio Room: Thursdays through Mondays!,40965,Mazzy,,North Cambridge,42.39469,-71.13223,Private room,115,2,141,2018-11-11,1.30,3,345
11945,Near Harvard: Safe & Lovely Room,40965,Mazzy,,North Cambridge,42.39454,-71.13431,Private room,75,3,32,2018-10-16,0.28,3,363
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36276,-71.09765,Private room,160,4,6,2018-08-04,0.06,3,365
22006,B & B near Harvard's Quad Houses,84280,Blue,,Neighborhood Nine,42.3867,-71.12387,Private room,120,2,59,2018-11-24,0.72,1,328
24063,Riverbend Bed and Breakfast,96414,Polly,,West Cambridge,42.37606,-71.14041,Private room,110,2,162,2019-01-21,1.52,1,331
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36381,-71.09754,Private room,195,5,9,2018-08-31,0.09,3,365
38356,"[1361-1LES] Lux 1BR, 1.5 Bath w/Loft in Cambridge",25188,Seamless,,East Cambridge,42.366,-71.08319,Entire home/apt,247,30,8,2014-05-19,0.08,3,89
38363,[1361-2NH]2BR At Third Square,25188,Seamless,,East Cambridge,42.36455,-71.08364,Entire home/apt,389,30,13,2015-06-05,0.14,3,0
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,Mid-Cambridge,42.37057,-71.10029,Entire home/apt,200,3,300,2019-01-03,3.17,2,250
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.3627,-71.09645,Private room,225,4,12,2018-10-07,0.13,3,358
108898,"""The Treehouse"":  elegant living near Harvard",306681,Janet,,West Cambridge,42.38377,-71.13543,Entire home/apt,150,2,14,2018-07-26,0.15,3,354
