id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8521,SunsplashedSerenity near Harvard $1300/wk flexible,306681,Janet,,West Cambridge,42.38329,-71.13617,Entire home/apt,200,3,29,2018-08-04,0.24,3,273
8533,[1091-1C] Lux Apts in Cambridge,25188,Seamless,,East Cambridge,42.36406,-71.08359,Entire home/apt,249,30,3,2015-06-19,0.05,8,364
11169,Lovely Studio Room: Thursdays through Mondays!,40965,Mazzy,,North Cambridge,42.39469,-71.13223,Private room,115,2,141,2018-11-11,1.28,3,266
11945,Near Harvard: Safe & Lovely Room,40965,Mazzy,,North Cambridge,42.39454,-71.13431,Private room,75,3,33,2019-04-14,0.29,3,356
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36276,-71.09765,Private room,185,4,6,2018-08-04,0.05,3,328
22006,B & B near Harvard's Quad Houses,84280,Blue,,Neighborhood Nine,42.3867,-71.12387,Private room,120,2,62,2019-04-12,0.73,1,297
24063,Riverbend Bed and Breakfast,96414,Polly,,West Cambridge,42.37606,-71.14041,Private room,110,2,165,2019-04-16,1.52,1,316
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36381,-71.09754,Private room,225,4,9,2018-08-31,0.08,3,362
38363,[1361-2NH]2BR At Third Square,25188,Seamless,,East Cambridge,42.36455,-71.08364,Entire home/apt,295,30,13,2015-06-05,0.14,8,0
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,Mid-Cambridge,42.37057,-71.10029,Entire home/apt,200,3,307,2019-04-16,3.17,2,242
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.3627,-71.09645,Private room,235,4,12,2018-10-07,0.13,3,340
108898,"""The Treehouse"":  elegant living near Harvard",306681,Janet,,West Cambridge,42.38377,-71.13543,Entire home/apt,150,2,14,2018-07-26,0.15,3,281
112452,Modern Condo in Harvard Sq,334800,Maiya,,West Cambridge,42.38658,-71.14041,Entire home/apt,100,180,1,2011-12-29,0.01,1,274
124998,Mid-Cambridge Carriage House,622255,Charles,,Mid-Cambridge,42.37275,-71.1067,Private room,100,3,319,2018-11-05,3.33,1,0
164449,[1691-2]Lux 2BR in Cambridge,25188,Seamless,,East Cambridge,42.36718,-71.0825,Entire home/apt,349,30,2,2012-05-05,0.02,8,89
195545,[1091-1NE] Lux Apts In Cambridge,25188,Seamless,,East Cambridge,42.36377,-71.08434,Entire home/apt,289,30,6,2017-09-30,0.07,8,364
217548,[1361-1NE]Lux 1 BR At Third Square,25188,Seamless,,East Cambridge,42.36414,-71.08224,Entire home/apt,279,30,6,2017-10-16,0.07,8,16
219471,"Best @ MIT, Kendall, Back Bay, Harvard, BU",444945,Lisa,,Cambridgeport,42.36109,-71.10425,Entire home/apt,144,3,49,2018-09-21,0.55,1,313
226315,[1091-2C/2] Lux 2 Bedroom-Heart of Kendall Square,25188,Seamless,,East Cambridge,42.36421,-71.08428,Entire home/apt,449,30,4,2015-10-19,0.06,8,364
231115,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,81038,Louisa,,Riverside,42.3668,-71.10673,Entire home/apt,225,2,150,2019-04-16,1.65,9,111
257645,Lovely Guest Room (Women Only),207434,Billie Jo,,Neighborhood Nine,42.38375,-71.12955,Private room,70,2,50,2019-03-13,0.74,1,0
280304,#17-2 Large 1BR Apt. in Harvard Sq!,1461240,Monica,,Riverside,42.37083,-71.11402,Entire home/apt,194,2,37,2018-10-06,0.64,6,241
314465,"Great House, Great Location",1615938,Tara,,Cambridgeport,42.35965,-71.10556,Entire home/apt,500,2,59,2018-06-10,0.73,1,0
318473,Sunny spacious Room 3  - Cambridge,1634398,Pamela ( DAN),,North Cambridge,42.39351,-71.13314,Private room,68,30,44,2018-08-03,0.51,4,242
321847,"New condo in Central Sq - 2BR, 2BA",1647071,Meghan,,The Port,42.36498,-71.09869,Entire home/apt,300,2,51,2018-11-11,0.61,1,0
365220,Davis Square Studio!,1694399,Isa,,Neighborhood Nine,42.38817,-71.12898,Entire home/apt,142,3,125,2019-04-16,2.13,1,87
405144,Apartment in Harvard's Backyard,2018955,Nicole,,Mid-Cambridge,42.37125,-71.11105,Entire home/apt,180,31,53,2018-09-28,0.62,1,0
405548,Holidays in Cambridge $150/night (flexible),306681,Janet,,West Cambridge,42.38258,-71.1371,Entire home/apt,150,2,2,2017-12-26,0.03,3,0
445407,East Cambridge Apartment ,2212429,Jimmy,,Wellington-Harrington,42.37363,-71.08909,Entire home/apt,350,2,40,2018-08-26,0.48,2,0
459074,Studio steps from MIT and Harvard!,2282282,Claudia,,Cambridgeport,42.36291,-71.10435,Entire home/apt,100,2,337,2019-04-16,4.03,1,33
464471,"HarvardMIT,InmanSq,clean,sunny apt.",2308198,Sarah And Chris,,Wellington-Harrington,42.37317,-71.09743,Entire home/apt,175,2,251,2019-04-16,2.98,1,171
497152,Designer Flat on Conservation Land,2431344,Elizabeth,,Cambridge Highlands,42.39445,-71.1549,Entire home/apt,180,4,75,2019-04-15,0.91,1,304
566528,"HARVARD/TUFTS: SHEA RD, 1-7 GUESTS +PARKING PERMIT",1839729,Harvard,,North Cambridge,42.39695,-71.12743,Entire home/apt,99,1,111,2019-03-21,1.37,1,114
570049,#34-3 Huge Room in Porter Square!!,1461240,Monica,,Neighborhood Nine,42.38697,-71.12548,Private room,125,3,41,2018-11-18,0.50,6,295
572563,Sunny & Stylish 2BR in Cambridge,2817305,Ashley,,Cambridgeport,42.36247,-71.10475,Entire home/apt,120,5,0,,,1,28
577384,Large Room with Shared Bath,229956,Adam,,The Port,42.36598,-71.09909,Private room,55,1,128,2019-01-01,1.55,5,0
613838,Harvard / Central Square : b1,3011415,Stanley And Sue,,Riverside,42.36797,-71.11057,Entire home/apt,180,30,91,2019-03-30,1.13,4,190
